ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID441936550,414/99 Dow St,2,u,845000.0,7/05/2016,2.0,2.0,2166.0,29.0,-37.8415,144.9412
ID874566543,30 Cedar St,2,h,1001000.0,26/07/2016,2.0,1.0,255.0,129.0,-37.8887,145.0207
ID483823554,5a Compton St,2,u,695000.0,27/05/2017,1.0,1.0,300.0,8.0,-37.80574,145.18832
ID591113817,4/287 Albion St,1,h,412000.0,8/04/2017,1.0,1.0,85.0,119.0,-37.7598,144.9563
ID531857796,1 Ashdown Ct,3,h,671000.0,26/08/2017,1.0,2.0,418.0,89.0,-37.66349,145.03391000000005
ID161329616,4/36 Acacia St,2,t,488500.0,27/06/2016,2.0,1.0,190.0,64.0,-37.7072,144.9241
ID820064845,4/299 Koornang Rd,2,u,804000.0,13/08/2016,2.0,1.0,0.0,26.0,-37.9,145.0548
ID111613108,64 Salisbury St,3,h,1435000.0,18/03/2017,1.0,3.0,633.0,15.0,-37.7608,144.9322
ID165873858,154 Halsey Rd,3,t,840000.0,3/09/2016,2.0,1.0,303.0,3.0,-37.718,144.878
ID637610585,17B McFarlane St,2,h,1085000.0,18/03/2017,2.0,1.0,152.0,44.0,-37.7661,145.0001
ID547210244,34 Ernest St,4,h,890000.0,12/11/2016,1.0,2.0,668.0,89.0,-37.7796,144.845
ID386364637,55 Warburton Rd,3,h,1385000.0,18/06/2016,1.0,1.0,444.0,109.0,-37.826,145.0734
ID604499774,112 McIlwraith St,2,h,1625000.0,16/09/2017,1.0,1.0,253.0,129.0,-37.78243,144.96871000000004
ID323329418,4/62 Moonya Rd,2,u,625000.0,7/11/2016,1.0,1.0,78.0,29.0,-37.8967,145.0627
ID523596587,12 Clifton St,4,h,1720000.0,18/03/2017,3.0,2.0,869.0,69.0,-37.8002,145.0999
ID631095448,54 Ardoyne St,3,h,940000.0,6/05/2017,2.0,2.0,572.0,69.0,-37.7966,144.8256
ID262826214,5 Tuxen Ct,5,h,1655000.0,27/11/2016,2.0,2.0,679.0,69.0,-37.9291,145.0283
ID780208399,3 Kirby Ct,4,h,875000.0,19/08/2017,3.0,4.0,793.0,39.0,-37.88793,145.27561
ID457337147,11 Findon St,2,h,1036000.0,3/12/2016,1.0,1.0,310.0,109.0,-37.8717,145.0399
ID594772133,5/652 Barkly St,2,u,456000.0,28/05/2016,1.0,1.0,0.0,44.0,-37.7966,144.8716
ID256084673,527 Kings Rd,3,h,790500.0,3/06/2017,2.0,2.0,808.0,14.0,-37.6943,144.78187
ID760695323,81 Erin St,3,h,1260000.0,3/09/2016,1.0,0.0,203.0,119.0,-37.8166,144.9945
ID330088714,44 Morley St,4,h,825000.0,30/07/2016,2.0,4.0,768.0,49.0,-37.6979,144.9377
ID261139257,68A Emo Rd,3,h,1625000.0,18/03/2017,2.0,1.0,87.0,29.0,-37.8769,145.05200000000005
ID165608645,8/705 Park St,2,u,601000.0,18/03/2017,1.0,1.0,0.0,49.0,-37.7778,144.9594
ID502936367,7 Celia St,3,h,986000.0,8/04/2017,1.0,3.0,337.0,69.0,-37.9331,145.0586
ID825573150,6 The Woodland,4,h,1678000.0,3/09/2017,2.0,2.0,943.0,49.0,-37.903059999999996,145.18171
ID163806325,36 Hatter St,3,h,1225000.0,27/11/2016,1.0,2.0,528.0,89.0,-37.9066,145.088
ID354250745,16 Nelson St,3,h,1520000.0,25/02/2017,2.0,1.0,0.0,3.0,-37.8363,144.9336
ID377951224,13 Cumquat Ct,4,h,500000.0,29/07/2017,2.0,0.0,579.0,29.0,-38.07202,145.27369
ID118599131,1/65 Keon Pde,3,u,500000.0,12/11/2016,1.0,1.0,359.0,59.0,-37.6957,145.0161
ID281346917,42 Kingsley Rd,3,h,815000.0,26/07/2016,1.0,2.0,550.0,54.0,-37.7208,144.9887
ID287731838,2/59 Smith St,2,h,573000.0,1/07/2017,1.0,1.0,0.0,49.0,-37.76732,144.94098
ID745603264,15 Stanley St,3,h,980000.0,4/03/2017,2.0,3.0,1029.0,69.0,-37.7115,144.9147
ID828913157,1 millgrove St,3,h,890000.0,26/08/2017,1.0,2.0,724.0,39.0,-37.88953,145.22056
ID165682450,12 McLean Ct,4,h,1440000.0,16/09/2017,3.0,6.0,717.0,34.0,-37.87831,145.24575
ID897199905,2/10 Matthews Rd,2,u,485000.0,22/05/2016,2.0,2.0,0.0,8.0,-37.9292,145.0708
ID879976260,581 Waterdale Rd,2,h,532000.0,27/05/2017,2.0,1.0,220.0,69.0,-37.73549000000001,145.0487
ID256678704,5 Barmah Gra,4,h,715000.0,24/06/2017,2.0,2.0,680.0,8.0,-37.612359999999995,144.90753
ID266865044,313/163 Cremorne St,1,u,415000.0,18/03/2017,1.0,1.0,0.0,119.0,-37.8301,144.9904
ID838892392,4 Blanche Ct,3,h,690000.0,3/06/2017,1.0,2.0,479.0,39.0,-37.73251,144.98178000000001
ID532739428,7 Wilks St,3,h,1520000.0,24/06/2017,2.0,2.0,426.0,13.0,-37.86323,145.01428
ID563215720,31 Elizabeth St,2,h,820000.0,10/12/2016,1.0,1.0,597.0,59.0,-37.7402,144.9807
ID822448567,8/33 McIntyre St,3,u,746000.0,17/09/2016,1.0,2.0,308.0,24.0,-37.8505,145.1065
ID827595578,1/65 Thackeray Rd,2,u,470000.0,24/06/2017,1.0,1.0,73.0,69.0,-37.72128,145.00995
ID776113125,4 Trent Ct,4,h,1010000.0,14/05/2016,2.0,2.0,776.0,39.0,-37.7502,144.8745
ID585928734,4/6 May St,2,u,750000.0,3/12/2016,1.0,1.0,0.0,89.0,-37.8791,144.9923
ID824842880,113 Grange Rd,6,h,2800000.0,1/07/2017,2.0,2.0,581.0,3.0,-37.83195,145.01215
ID948320806,3/36 Myrtle Gr,2,u,450000.0,7/11/2016,1.0,1.0,95.0,15.0,-37.7283,144.9991
ID591210070,6 Archibald St,3,h,4000000.0,18/06/2016,1.0,2.0,763.0,74.0,-37.8166,145.1215
ID701423195,9 Derby St,5,h,2250000.0,28/08/2016,5.0,1.0,639.0,9.0,-37.8303,145.0668
ID464161283,10 Anselm Gr,3,h,703000.0,17/09/2016,1.0,4.0,704.0,59.0,-37.7021,144.9136
ID974132848,18 Viewgrand Dr,4,h,975000.0,3/09/2017,3.0,2.0,675.0,14.0,-38.06508,145.35416999999995
ID143543729,14 Delhi St,4,h,1410000.0,23/09/2017,3.0,4.0,623.0,69.0,-37.92588,145.04808
ID493971005,15 Freame St,2,h,1196000.0,8/04/2017,1.0,2.0,451.0,79.0,-37.8178,144.8752
ID295117417,3/50 Airlie Rd,3,t,960000.0,27/05/2017,2.0,2.0,397.0,16.0,-37.72331,145.11909
ID229669478,32 Sweetland Rd,3,h,910000.0,13/05/2017,1.0,2.0,414.0,5.0,-37.8247,145.1359
ID198732881,2A Hillcrest Av,4,h,1850000.0,19/08/2017,3.0,3.0,421.0,19.0,-37.90542,145.00603999999996
ID815934976,39 Taylor St,3,h,1225000.0,12/08/2017,2.0,2.0,674.0,99.0,-37.76389,144.9185
ID842399452,18 Fydler Av,3,h,580000.0,26/08/2017,2.0,2.0,461.0,19.0,-37.74518,144.74708
ID519586969,5/322 Buckley St,2,u,460000.0,14/05/2016,1.0,1.0,0.0,59.0,-37.7545,144.8964
ID790021798,7 Colclough Ct,5,h,960000.0,27/06/2016,3.0,2.0,387.0,19.0,-37.7225,144.9055
ID469687608,32 Ailsa Gr,3,h,1850000.0,18/03/2017,2.0,2.0,684.0,19.0,-37.7659,145.0392
ID236605142,1/3 Greig Ct,2,u,635000.0,22/07/2017,1.0,1.0,371.0,10.0,-37.87872,144.98893999999999
ID777226451,110/3 Hoddle St,1,u,415000.0,7/11/2016,1.0,1.0,3701.0,14.0,-37.809,144.9911
ID778187047,57 Charles St,2,h,850000.0,1/07/2017,1.0,1.0,152.0,109.0,-37.80697,144.8928
ID486880087,44 Quarry Cct,2,u,425000.0,30/07/2016,2.0,1.0,0.0,49.0,-37.7363,144.9723
ID237833607,9 Sussex St,5,h,4700000.0,12/11/2016,3.0,2.0,1073.0,8.0,-37.918,144.9911
ID604130023,76 Kenmare St,2,h,650000.0,26/08/2017,1.0,1.0,210.0,13.0,-37.70657,145.07878
ID418622682,17a Edinburgh St,3,t,830000.0,4/06/2016,2.0,2.0,292.0,7.0,-37.9168,145.069
ID440818609,5 Echo Av,4,h,496000.0,8/07/2017,2.0,2.0,448.0,11.0,-37.84688,144.68182
ID740681970,6 Chester St,3,h,1360000.0,4/06/2016,2.0,1.0,704.0,79.0,-37.852,145.0942
ID174422480,1 Kingswood Av,3,h,1150000.0,8/07/2017,2.0,3.0,650.0,12.0,-37.894690000000004,145.12363
ID727743559,4/60 Henty St,2,u,380000.0,8/10/2016,1.0,1.0,149.0,39.0,-37.7177,144.9917
ID452045394,18 Stewart St,3,h,1455000.0,23/09/2017,2.0,2.0,351.0,109.0,-37.81111,144.88759
ID564616291,19 Victor Cr,3,h,1011000.0,22/07/2017,1.0,1.0,590.0,59.0,-37.84308,145.168
ID196205527,3/48 Deakin St,3,u,700000.0,22/04/2017,1.0,1.0,227.0,14.0,-37.7496,144.892
ID539636294,11/74 Barkly St,2,u,902000.0,29/04/2017,1.0,1.0,18.0,89.0,-37.8624,144.9823
ID253056592,41 Patricia St,4,h,1250000.0,19/08/2017,2.0,2.0,534.0,49.0,-37.74514,144.87313
ID129664517,50 Carlisle Rd,5,h,1100000.0,17/06/2017,3.0,2.0,836.0,18.0,-37.8801,145.26011
ID484634269,16 Marian St,4,h,3399000.0,27/05/2017,2.0,2.0,446.0,17.0,-37.82785,145.03816
ID942990521,6/57 Adams St,2,u,747500.0,22/07/2017,1.0,1.0,0.0,11.0,-37.83564000000001,144.97728999999995
ID903377090,5/81 morang Rd,1,u,317500.0,8/04/2017,1.0,0.0,0.0,62.0,-37.826,145.0239
ID732298332,4/71 Rosanna Rd,3,t,550000.0,6/08/2016,1.0,2.0,235.0,29.0,-37.7519,145.0696
ID524087924,203/140 Gipps St,2,u,1935000.0,16/07/2016,2.0,2.0,0.0,9.0,-37.8127,144.9847
ID751372123,1/3 Boldrewood Pde,3,h,500000.0,8/10/2016,1.0,1.0,320.0,15.0,-37.7248,145.023
ID321374619,2/46 Wattle Valley Rd,2,u,1016000.0,30/07/2016,1.0,2.0,0.0,7.0,-37.8291,145.0826
ID362113762,1109/800 Chapel St,2,u,857000.0,1/07/2017,2.0,2.0,0.0,19.0,-37.83613,144.99661
ID815353229,2/74 Daley St,3,t,555000.0,3/12/2016,2.0,2.0,244.0,59.0,-37.6969,144.9299
ID505376326,28 Lily St,3,h,1310000.0,28/08/2016,2.0,1.0,229.0,129.0,-37.8032,144.8892
ID551929443,21 Taylors Rd,4,h,1120000.0,8/07/2017,2.0,2.0,864.0,11.0,-37.807179999999995,145.28581
ID642216509,13 Anthony Cl,5,h,880000.0,1/07/2017,2.0,2.0,725.0,11.0,-37.72399,145.12069
ID641898797,39 Barry St,3,h,1710000.0,4/06/2016,1.0,1.0,247.0,129.0,-37.7798,144.9952
ID490368107,2 Scott St,2,h,1790000.0,3/06/2017,2.0,2.0,460.0,61.0,-37.83432,145.04152
ID216723944,68 Mortimore St,3,h,1350000.0,24/09/2016,1.0,1.0,617.0,7.0,-37.9282,145.047
ID798738902,48 Barry St,3,h,1676000.0,16/07/2016,1.0,2.0,401.0,24.0,-37.7801,144.9954
ID592993053,8/3 Carnarvon St,3,u,700000.0,4/06/2016,2.0,2.0,0.0,12.0,-37.7862,145.1235
ID300585203,25 Clydesdale Rd,3,h,985000.0,29/04/2017,1.0,1.0,841.0,11.0,-37.7251,144.8785
ID315010416,27 Gerald St,4,h,1850000.0,16/09/2017,2.0,2.0,628.0,7.0,-37.82942,145.16714
ID601656261,15 Orford St,2,h,956000.0,27/06/2016,1.0,2.0,435.0,99.0,-37.7692,144.9042
ID397342613,7 Collinson St,3,h,690000.0,17/06/2017,1.0,2.0,650.0,41.0,-37.72529,144.85682
ID185032023,30 Carrington Rd,3,h,1312000.0,6/05/2017,1.0,1.0,650.0,69.0,-37.7375,144.8885
ID530645359,3/859 Toorak Rd,3,t,1590000.0,19/11/2016,2.0,2.0,289.0,9.0,-37.8451,145.0525
ID773496767,7/88 Stephen St,2,u,782000.0,4/03/2017,1.0,1.0,1555.0,6.0,-37.8156,144.8943
ID372700032,3/566 Glenferrie Rd,2,u,587500.0,16/07/2016,1.0,1.0,1099.0,54.0,-37.8271,145.0347
ID835730553,53 Primrose Av,3,t,795000.0,23/09/2017,2.0,2.0,138.0,6.0,-37.956559999999996,145.06926
ID958212492,7 Balfour St,4,h,1940000.0,3/09/2016,2.0,2.0,682.0,59.0,-37.9205,145.0122
ID231586348,8/16 Wattletree Rd,2,u,690000.0,22/04/2017,1.0,2.0,0.0,39.0,-37.8611,145.0174
ID669156761,76 Walpole St,2,h,1507000.0,15/10/2016,1.0,2.0,667.0,59.0,-37.8007,145.0327
ID633276581,10/14 Cromwell Rd,2,u,499000.0,8/04/2017,1.0,1.0,0.0,49.0,-37.8452,145.0001
ID375553388,1a Court St,2,h,796000.0,4/06/2016,1.0,1.0,188.0,6.0,-37.8184,144.8809
ID771040350,7 Longview St,3,h,792000.0,24/09/2016,1.0,2.0,582.0,49.0,-37.724000000000004,144.9333
ID243132493,3/7 Mattea Ct,2,u,380000.0,13/08/2016,1.0,1.0,220.0,8.0,-37.7327,145.0347
ID837368581,201/77 Abinger St,1,u,400000.0,23/09/2017,1.0,1.0,4425.0,7.0,-37.82009,145.0038
ID189197165,24 McConnell St,2,h,1150000.0,17/06/2017,1.0,0.0,147.0,129.0,-37.79067,144.92844
ID624921178,6/51 Murrumbeena Rd,2,u,582000.0,13/05/2017,1.0,2.0,1113.0,9.0,-37.8892,145.0664
ID287664692,68 Thompson St,3,h,680000.0,6/08/2016,1.0,2.0,570.0,49.0,-37.7591,144.8542
ID688478521,26 Stymie St,5,h,1250000.0,17/06/2017,3.0,2.0,544.0,79.0,-37.71499,145.02966999999995
ID617231852,87 Frawley Rd,3,h,1300000.0,8/07/2017,2.0,2.0,1801.0,14.0,-38.00128,145.27213
ID814563182,200 Nicholson St,2,h,1012500.0,28/05/2016,1.0,0.0,182.0,119.0,-37.8021,144.9976
ID152775044,42a Essex Rd,4,h,1725000.0,18/06/2016,2.0,2.0,798.0,44.0,-37.8308,145.0916
ID850691570,118 Marshall Rd,3,h,640000.0,1/07/2017,1.0,2.0,219.0,59.0,-37.71655,144.88155
ID262153167,106/233 Dandenong Rd,1,u,300000.0,15/10/2016,1.0,1.0,0.0,9.0,-37.8584,144.9994
ID419465629,37 Vale St,2,h,935000.0,8/04/2017,1.0,1.0,537.0,49.0,-37.7269,144.988
ID649906601,32 Holloway Rd,3,h,1405000.0,27/05/2017,2.0,2.0,401.0,99.0,-37.76491,144.95253
ID569881670,202/8 Bond St,2,u,850000.0,3/12/2016,2.0,2.0,0.0,5.0,-37.8411,144.9944
ID518586127,9 Lofty Av,5,h,2450000.0,16/09/2017,3.0,2.0,570.0,93.0,-37.841359999999995,145.08149
ID766161979,780 Brunswick St,3,h,1371000.0,10/09/2016,1.0,1.0,197.0,119.0,-37.7835,144.9816
ID307656160,1/178 Murrumbeena Rd,2,t,720000.0,23/04/2016,2.0,2.0,1318.0,11.0,-37.8969,145.0654
ID482025007,183 Cubitt St,2,h,895000.0,15/10/2016,1.0,0.0,138.0,139.0,-37.832,144.99200000000005
ID985997852,29 Faussett St,2,h,2120000.0,10/09/2016,1.0,1.0,199.0,119.0,-37.8422,144.9554
ID131985722,13 Wheatland Cr,4,h,955000.0,3/09/2017,2.0,2.0,615.0,24.0,-37.967459999999996,145.12788
ID756892429,11/16 Byron St,1,u,326000.0,27/06/2016,1.0,1.0,0.0,14.0,-37.8768,144.9905
ID874640877,28 Corsair St,2,h,1145000.0,18/06/2016,1.0,0.0,170.0,109.0,-37.8226,145.0064
ID399531713,118 Wood St,3,h,1020000.0,13/05/2017,2.0,2.0,670.0,84.0,-37.7353,145.0232
ID358254857,17 Chinnock Ct,5,h,680000.0,24/06/2017,3.0,2.0,646.0,119.0,-37.59902,144.92517
ID868427556,1/2 Dakara Cl,3,u,420000.0,22/07/2017,1.0,1.0,658.0,29.0,-37.64821,144.92526999999995
ID508971962,54 Palmerston Cr,3,h,1210000.0,9/09/2017,2.0,0.0,149.0,119.0,-37.834740000000004,144.96917
ID143519040,35 Leander St,2,h,835000.0,22/08/2016,1.0,1.0,222.0,99.0,-37.7962,144.8844
ID304756888,37 Roberts St,3,h,891000.0,18/06/2016,3.0,1.0,292.0,21.0,-37.7505,144.8657
ID940574340,124 Northumberland Dr,4,h,598000.0,3/06/2017,2.0,3.0,558.0,44.0,-37.64262,145.0407
ID582231378,59 Robinson St,2,h,1020000.0,1/07/2017,1.0,1.0,269.0,125.0,-37.75782,144.92088
ID988707448,11 Station St,3,h,725000.0,23/04/2016,1.0,0.0,238.0,119.0,-37.7539,144.9612
ID889283006,12 Lewis St,4,h,793000.0,6/05/2017,1.0,2.0,677.0,49.0,-37.7088,144.9204
ID529441015,1/9 Indwe St,3,t,620000.0,15/10/2016,1.0,2.0,255.0,18.0,-37.8038,144.8679
ID402990300,27 Celia St,3,h,1825000.0,17/09/2016,1.0,2.0,652.0,69.0,-37.8552,145.0785
ID428574998,14/18 King St,2,u,537000.0,10/12/2016,1.0,1.0,0.0,49.0,-37.8838,145.0095
ID542584940,46 Head St,4,h,2400000.0,13/08/2016,2.0,2.0,640.0,28.0,-37.891999999999996,144.9918
ID476966486,4 Thompson St,3,h,1708000.0,4/03/2017,1.0,1.0,703.0,59.0,-37.9058,145.028
ID799687297,5 Margaret St,2,h,1780000.0,7/05/2016,3.0,2.0,635.0,84.0,-37.9205,145.0102
ID803902543,466 Auburn Rd,4,h,1800000.0,22/08/2016,2.0,4.0,601.0,79.0,-37.839,145.0418
ID966038922,25 Westmore Dr,5,h,932000.0,9/09/2017,2.0,2.0,543.0,39.0,-37.83145,145.22826
ID695302599,5 Alice St,3,h,1100000.0,23/09/2017,2.0,2.0,603.0,15.0,-37.97462,145.07906
ID747358052,8/42 Wests Rd,2,t,355000.0,4/06/2016,1.0,1.0,0.0,15.0,-37.7716,144.882
ID893287854,1411 Dandenong Rd,4,h,1290000.0,13/05/2017,2.0,2.0,395.0,109.0,-37.8914,145.0842
ID972218673,3 Longfield St,3,h,1400000.0,27/11/2016,1.0,2.0,0.0,119.0,-37.8211,145.0114
ID546012517,1/41 Elizabeth St,3,u,1025000.0,4/03/2017,2.0,2.0,384.0,20.0,-37.9229,145.0557
ID253627235,19/995 Burke Rd,2,u,555000.0,24/06/2017,1.0,1.0,2685.0,69.0,-37.82277,145.0581
ID275111708,20 Grace St,3,h,1450000.0,25/02/2017,2.0,2.0,542.0,3.0,-37.811,144.8844
ID311229623,222 Rae St,3,h,1852000.0,1/07/2017,2.0,1.0,138.0,119.0,-37.78714,144.97966
ID512427265,302/366 Church St,2,u,712000.0,26/07/2016,1.0,1.0,0.0,7.0,-37.823,144.9982
ID666176744,12 Walpa Ct,3,h,616000.0,9/09/2017,1.0,3.0,681.0,18.0,-37.673320000000004,144.9022
ID378048952,3 Mustang Ct,3,h,1500000.0,22/08/2016,2.0,2.0,710.0,74.0,-37.8653,145.0897
ID391543170,18 Murray Dr,4,h,1800000.0,18/06/2016,2.0,2.0,1393.0,56.0,-37.8463,145.102
ID816475337,2005/39 Coventry St,2,u,690000.0,23/04/2016,3.0,1.0,0.0,6.0,-37.8295,144.9692
ID935102575,64 Twyford St,4,h,3130000.0,4/06/2016,2.0,2.0,897.0,99.0,-37.8679,144.899
ID809945758,250 Oriel Rd,3,h,808000.0,11/02/2017,1.0,0.0,649.0,49.0,-37.7386,145.0441
ID172053943,3 Portland St,3,h,3020000.0,14/05/2016,2.0,2.0,389.0,8.0,-37.8214,144.9951
ID507698396,7/59 Rathmines St,2,u,445000.0,10/12/2016,1.0,1.0,0.0,49.0,-37.7782,145.0162
ID748072263,4 Baker Pde,3,h,1500000.0,22/05/2016,1.0,2.0,545.0,29.0,-37.8605,145.0833
ID578612678,28 Ray St,4,h,583000.0,15/07/2017,1.0,2.0,757.0,49.0,-37.97369000000001,145.19714
ID534184017,11/2 Theodore Ct,2,u,725000.0,8/07/2017,1.0,1.0,0.0,59.0,-37.83532,145.0216
ID472111750,15 Compton St,3,h,2050000.0,3/06/2017,2.0,3.0,779.0,89.0,-37.83271,145.08414
ID968816694,2/2 Walter St,3,t,970000.0,1/07/2017,2.0,1.0,263.0,3.0,-37.8179,145.20658
ID959321868,704/668 Swanston St,2,u,795000.0,10/12/2016,2.0,1.0,0.0,119.0,-37.8009,144.9642
ID504732718,20 Dunbar Ct,3,h,685000.0,3/09/2017,1.0,2.0,888.0,79.0,-37.66075,145.01133000000004
ID236348977,275A Koornang Rd,2,h,920000.0,17/06/2017,1.0,1.0,431.0,99.0,-37.89785,145.05524
ID532672246,3/32 Kumara Cct,3,t,420000.0,8/07/2017,2.0,2.0,155.0,8.0,-37.63478,145.08486000000005
ID945114088,1/164 Leamington St,1,u,216000.0,24/09/2016,1.0,1.0,0.0,49.0,-37.7111,144.9919
